DEBUG , 42 , 2023-08-11 09:18:47,724 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:18:47,724 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:18:47,727 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:47,728 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:47,728 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:47,728 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:47,728 , main
DEBUG , 39 , 2023-08-11 09:18:48,628 , doFilter----/cust.bit
DEBUG , 42 , 2023-08-11 09:18:48,628 , doFilter----/cust.bit
DEBUG , 50 , 2023-08-11 09:18:48,628 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:48,629 , /cust.bit
DEBUG , 31 , 2023-08-11 09:18:48,629 , cust
DEBUG , 39 , 2023-08-11 09:18:48,680 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:18:48,680 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:18:48,680 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:18:48,682 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:18:48,682 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:18:48,682 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:18:48,683 , /main.bit
DEBUG , 31 , 2023-08-11 09:18:48,683 , main
DEBUG , 39 , 2023-08-11 09:24:43,864 , doFilter----/cust.bit
DEBUG , 42 , 2023-08-11 09:24:43,866 , doFilter----/cust.bit
DEBUG , 50 , 2023-08-11 09:24:43,867 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:24:43,867 , /cust.bit
DEBUG , 31 , 2023-08-11 09:24:43,867 , cust
DEBUG , 39 , 2023-08-11 09:24:43,934 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:24:43,935 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:24:43,935 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:24:43,936 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:24:43,937 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:24:43,937 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:24:43,937 , /main.bit
DEBUG , 31 , 2023-08-11 09:24:43,937 , main
DEBUG , 39 , 2023-08-11 09:24:44,273 , doFilter----/cust.bit
DEBUG , 42 , 2023-08-11 09:24:44,274 , doFilter----/cust.bit
DEBUG , 50 , 2023-08-11 09:24:44,274 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:24:44,274 , /cust.bit
DEBUG , 31 , 2023-08-11 09:24:44,274 , cust
DEBUG , 39 , 2023-08-11 09:24:44,316 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:24:44,316 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:24:44,316 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:24:44,317 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:24:44,317 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:24:44,317 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:24:44,317 , /main.bit
DEBUG , 31 , 2023-08-11 09:24:44,317 , main
DEBUG , 39 , 2023-08-11 09:24:46,126 , doFilter----/cust.bit
DEBUG , 42 , 2023-08-11 09:24:46,126 , doFilter----/cust.bit
DEBUG , 50 , 2023-08-11 09:24:46,126 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:24:46,126 , /cust.bit
DEBUG , 31 , 2023-08-11 09:24:46,126 , cust
DEBUG , 39 , 2023-08-11 09:24:46,170 , doFilter----/favicon.ico
DEBUG , 42 , 2023-08-11 09:24:46,170 , doFilter----/favicon.ico
DEBUG , 50 , 2023-08-11 09:24:46,170 , doFilter3----.ico
DEBUG , 39 , 2023-08-11 09:24:46,171 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:24:46,171 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:24:46,172 , doFilter3----.bit
DEBUG , 29 , 2023-08-11 09:24:46,172 , /main.bit
DEBUG , 31 , 2023-08-11 09:24:46,172 , main
DEBUG , 39 , 2023-08-11 09:24:47,080 , doFilter----/main.bit
DEBUG , 42 , 2023-08-11 09:24:47,081 , doFilter----/main.bit
DEBUG , 50 , 2023-08-11 09:24:47,081 , doFilter3----.bit
